,overall,vote,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,style,image
0,2,3,True,"06 15, 2010",A1Q6MUU0B2ZDQG,B00004U9V2,D. Poston,"I bought two of these 8.5 fl oz hand cream, and neither of the dispensers work.  The hand cream is wonderful, but very thick, so I don't see I can get much out by shaking it out, since the dispensers seem to be non-operable.",dispensers don't work,1276560000,,
1,5,14,True,"01 7, 2010",A3HO2SQDCZIE9S,B00004U9V2,chandra,"Believe me, over the years I have tried many, many different hand creams. I am one of those people whose hands get so dry they have little cracks all over them.

Of all the hand creams, this is the best. It really moisturizes but doesn't leave your hands feeling greasy. And it lasts. I think a lot of lotions just have too much water in them. It has a very nice, subtle scent. I have to avoid a lot of lotions just because the scent is too strong!

I am overall very ""frugal"" but I think this cream is worth the money.",Best hand cream ever.,1262822400,,
2,5,,True,"04 18, 2018",A2EM03F99X3RJZ,B00004U9V2,Maureen G,Great hand lotion,Five Stars,1524009600,{'Size:': ' 3.5 oz.'},
3,5,,True,"04 18, 2018",A3Z74TDRGD0HU,B00004U9V2,Terry K,This is the best for the severely dry skin on my hands,Five Stars,1524009600,{'Size:': ' 3.5 oz.'},
4,5,,True,"04 17, 2018",A2UXFNW9RTL4VM,B00004U9V2,Patricia Wood,The best non- oily hand cream ever. It heals overnight.,I always have a backup ready.,1523923200,{'Size:': ' 3.5 oz.'},
5,5,,True,"04 14, 2018",AXX5G4LFF12R6,B00004U9V2,Ralla,Ive used this lotion for many years. I try others occasionally and always come back to Gardners. Please don't change a thing.,Ive used this lotion for many years. I try ...,1523664000,{'Size:': ' 250 g'},
6,5,,True,"04 11, 2018",A7GUKMOJT2NR6,B00004U9V2,Lydia Speight,Works great for dry hands.,Five Stars,1523404800,{'Size:': ' 3.5 oz.'},
7,5,,True,"04 11, 2018",A3FU4L59BHA9FY,B00004U9V2,Allen Semer,The best hand cream ever.,Made in the USA,1523404800,{'Size:': ' 3.5 oz.'},
8,5,,True,"04 7, 2018",A1AMNMIPQMXH9M,B00004U9V2,Vets park,LOVE THIS SCENT!!  But Crabtree and Evelyn make so many.  Washes off easily too!!,Moistens and smells good,1523059200,{'Size:': ' 3.5 oz.'},
9,5,,True,"04 6, 2018",A3DMBDTA8VGWSX,B00004U9V2,Cynthia P. Irving,Its a great moisturizer especially for gardners,Five Stars,1522972800,{'Size:': ' 3.5 oz.'},
